License plate,Frame no.,Timestamp(seconds)
XS-NB-23,24,2.0
,48,4.0
,72,6.0
73-GSX-6,96,8.0
72-VGX-6,120,10.0
72-VGX-6,144,12.0
99-SZG-S,168,14.0
,192,16.0
,216,18.0
24-LB-HT,240,20.0
,264,22.0
,288,24.0
97-FB-FP,312,26.0
67-FP-SJ,336,28.0
,360,30.0
,384,32.0
56-JTT-5,408,34.0
56-JTT-5,432,36.0
88-BB-TS,456,38.0
56-JTT-5,480,40.0
56-JTT-5,504,42.0
ZD-PB-67,528,44.0
92-GS-VM-B,552,46.0
99-GS-VM,576,48.0
,624,52.0
73-PV-HB,648,54.0
,672,56.0
,696,58.0
,720,60.0
43-HNN-2,744,62.0
,768,64.0
,792,66.0
,816,68.0
,840,70.0
,864,72.0
,888,74.0
3-VFX-39,912,76.0
3-VFX-39,936,78.0
,960,80.0
96-ND-JB,984,82.0
96-ND-JB,1008,84.0
,1032,86.0
,1056,88.0
VD-020-P,1080,90.0
S-SXB-74,1104,92.0
333-3,1152,96.0
27-LH-TB,1200,100.0
XH-PN-44,1272,106.0
,1296,108.0
,1320,110.0
6-GR-DH,1344,112.0
64-LJ-GF,1392,116.0
,1440,120.0
28-R-T-9,1488,124.0
,1536,128.0
,1584,132.0
,1632,136.0
,1656,138.0
,1680,140.0
72-11-1-V,1704,142.0
,1728,144.0
